,DE
0 days 00:00:00,44774.18424657534
0 days 01:30:00,43763.08219178082
0 days 03:00:00,45137.79897260274
0 days 04:30:00,49783.78424657534
0 days 06:00:00,56329.984589041094
0 days 07:30:00,60427.19315068493
0 days 09:00:00,62540.813356164384
0 days 10:30:00,63503.516438356164
0 days 12:00:00,61904.61130136986
0 days 13:30:00,60058.521232876716
0 days 15:00:00,59380.11643835616
0 days 16:30:00,60742.449315068494
0 days 18:00:00,60242.76506849315
0 days 19:30:00,56622.82739726028
0 days 21:00:00,52262.65102739726
0 days 22:30:00,47629.62739726027
