,int,load_north,load_sout,int_2,Wind_north,Solar_north,Wind_south,Solar_south
0 days 00:00:00,1.5,16298.88,35445.119999999995,1.5,0.485,0.0,0.32999999999999996,0.0
0 days 01:47:00,3.5,18204.96,45290.54,3.5,0.30500000000000005,0.06,0.22,0.01
0 days 03:34:00,5.5,21940.265,52425.735,5.5,0.195,0.315,0.135,0.235
0 days 05:21:00,7.5,22432.760000000002,48954.24,7.5,0.22,0.31,0.11499999999999999,0.205
0 days 07:08:00,9.0,24780.9,48104.1,9.0,0.18,0.09,0.14,0.07
0 days 08:55:00,10.5,20955.120000000003,45755.880000000005,10.5,0.125,0.0,0.13,0.0
0 days 10:42:00,12.5,18520.035,33724.965,12.5,0.060000000000000005,0.0,0.08,0.0
0 days 12:29:00,14.5,19324.22,34640.78,14.5,0.10500000000000001,0.015,0.08499999999999999,0.02
0 days 14:16:00,16.5,25682.75,41926.25,16.5,0.16999999999999998,0.19,0.16,0.295
0 days 16:03:00,18.0,23438.24,45497.759999999995,18.0,0.22,0.32,0.21,0.45
0 days 17:50:00,19.5,20418.27,45400.729999999996,19.5,0.265,0.24,0.29500000000000004,0.41000000000000003
0 days 19:37:00,21.5,20428.72,42416.28,21.5,0.275,0.02,0.30500000000000005,0.075
0 days 21:24:00,23.5,16306.32,37088.18,23.5,0.16,0.0,0.12,0.0
0 days 23:11:00,25.0,15532.8,36243.2,25.0,0.21,0.0,0.15,0.0
