,total load,north,south
0 days 00:00:00,44717.4,13817.0,30900.4
0 days 04:10:00,55717.7,16541.1,39176.6
0 days 08:20:00,62790.6,18448.4,44342.2
0 days 12:30:00,60012.7,21371.9,38640.8
0 days 16:40:00,59462.7,19887.6,39575.1
0 days 20:50:00,50718.3,19260.5,31457.8
0 days 00:00:00,44717.4,16905.2,27812.2
0 days 04:10:00,55717.7,16928.2,38789.5
0 days 08:20:00,62790.6,22772.0,40018.5
0 days 12:30:00,60012.7,19589.3,40423.4
0 days 16:40:00,59462.7,17120.2,42342.5
0 days 20:50:00,50718.3,16158.0,34560.3
